,genre,genre number,musics in genre
0,dance pop,1,7
8,pop,2,6
15,latin,3,4
20,edm,4,2
23,canadian hip hop,5,2
26,reggaeton flow,6,1
28,reggaeton,7,1
30,panamanian pop,8,1
32,electropop,9,1
34,dfw rap,10,1
36,country rap,11,1
38,canadian pop,12,1
40,brostep,13,1
42,trap music,14,1
43,atl hip hop,15,1
45,australian pop,16,1
47,big room,17,1
49,boy band,18,1
51,escape room,19,1
53,pop house,20,1
55,r&b en espanol,21,1
